,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
386,48,2,84,1586,39,2,2,6,18,22,9,0,1,199000,312000
387,48,2,84,1581,35,2,2,4,18,22,9,0,1,148000,166500
388,48,2,82,1569,39,2,1,1,18,22,9,0,1,168000,179000
389,48,2,294,1154,36,2,2,4,18,4,0,0,1,54000,299900
390,48,2,81,1542,39,2,2,2,18,22,9,0,1,113000,169900
391,48,2,307,1397,45,0,1,8,18,4,0,0,0,0,2720000
392,48,2,293,1622,39,0,2,2,18,4,0,0,1,109400,187900
393,48,2,82,1568,41,2,2,4,18,4,9,0,1,93000,250000
394,48,2,81,1540,41,2,2,2,18,4,9,0,1,78000,180000
395,48,2,82,1569,38,2,2,4,18,4,9,0,1,210000,163900
